sample_id,noisy_filename,clean_filename,noise_category,target_snr_db,measured_snr_db,duration_sec
S0101,S0101_snr_-5dB_gunshot.wav,male_0669.wav,gunshot,-5,-5.0,4.0
S0102,S0102_snr_-5dB_gunshot.wav,male_0283.wav,gunshot,-5,-5.0,5.93
S0103,S0103_snr_-5dB_gunshot.wav,male_0940.wav,gunshot,-5,-5.0,4.1998
S0104,S0104_snr_-5dB_gunshot.wav,male_0945.wav,gunshot,-5,-5.0,24.066
S0105,S0105_snr_-5dB_gunshot.wav,male_0607.wav,gunshot,-5,-5.0,9.2569
S0106,S0106_snr_-5dB_gunshot.wav,male_0960.wav,gunshot,-5,-5.0,6.1996
S0107,S0107_snr_-5dB_gunshot.wav,male_0935.wav,gunshot,-5,-5.0,3.4222
S0108,S0108_snr_-5dB_gunshot.wav,male_0732.wav,gunshot,-5,-5.0,12.0864
S0109,S0109_snr_-5dB_gunshot.wav,male_0288.wav,gunshot,-5,-5.0,8.8109
S0110,S0110_snr_-5dB_gunshot.wav,male_0528.wav,gunshot,-5,-5.0,12.16
S0111,S0111_snr_-5dB_gunshot.wav,male_0808.wav,gunshot,-5,-5.0,4.1143
S0113,S0113_snr_-5dB_gunshot.wav,male_0437.wav,gunshot,-5,-5.0,5.0201
S0114,S0114_snr_-5dB_gunshot.wav,male_0029.wav,gunshot,-5,-5.0,4.4671
S0115,S0115_snr_-5dB_gunshot.wav,male_0375.wav,gunshot,-5,-5.0,6.6292
S0116,S0116_snr_-5dB_gunshot.wav,male_0820.wav,gunshot,-5,-5.0,13.2593
S0117,S0117_snr_-5dB_gunshot.wav,male_0317.wav,gunshot,-5,-5.0,3.2433
S0119,S0119_snr_-5dB_gunshot.wav,male_0242.wav,gunshot,-5,-5.0,5.5734
S0120,S0120_snr_-5dB_gunshot.wav,male_0150.wav,gunshot,-5,-5.0,5.6326
S0122,S0122_snr_-5dB_helicopter.wav,male_0418.wav,helicopter,-5,-5.0,6.2366
S0123,S0123_snr_-5dB_helicopter.wav,male_0661.wav,helicopter,-5,-5.0,3.022
S0124,S0124_snr_-5dB_helicopter.wav,male_0199.wav,helicopter,-5,-5.0,7.1262
S0125,S0125_snr_-5dB_helicopter.wav,male_0586.wav,helicopter,-5,-5.0,8.826
S0126,S0126_snr_-5dB_helicopter.wav,male_0326.wav,helicopter,-5,-5.0,22.0307
S0127,S0127_snr_-5dB_helicopter.wav,male_0824.wav,helicopter,-5,-5.0,3.0997
S0131,S0131_snr_-5dB_helicopter.wav,male_0865.wav,helicopter,-5,-5.0,5.6283
S0132,S0132_snr_-5dB_helicopter.wav,male_0837.wav,helicopter,-5,-5.0,11.9
S0133,S0133_snr_-5dB_helicopter.wav,male_0878.wav,helicopter,-5,-5.0,4.2407
S0134,S0134_snr_-5dB_helicopter.wav,male_0360.wav,helicopter,-5,-5.0,3.9758
S0135,S0135_snr_-5dB_helicopter.wav,male_0595.wav,helicopter,-5,-5.0,7.047
S0136,S0136_snr_-5dB_helicopter.wav,male_0789.wav,helicopter,-5,-5.0,3.0579
S0137,S0137_snr_-5dB_helicopter.wav,male_0189.wav,helicopter,-5,-5.0,11.4507
S0139,S0139_snr_-5dB_helicopter.wav,male_0356.wav,helicopter,-5,-5.0,6.36
S0140,S0140_snr_-5dB_helicopter.wav,male_0800.wav,helicopter,-5,-5.0,3.3775
S0141,S0141_snr_-5dB_helicopter.wav,male_0903.wav,helicopter,-5,-5.0,12.1812
S0142,S0142_snr_-5dB_helicopter.wav,male_0921.wav,helicopter,-5,-5.0,7.9532
S0143,S0143_snr_-5dB_helicopter.wav,male_0943.wav,helicopter,-5,-5.0,5.5472
S0144,S0144_snr_-5dB_helicopter.wav,male_0331.wav,helicopter,-5,-5.0,3.4702
S0145,S0145_snr_-5dB_wind.wav,male_0728.wav,wind,-5,-5.0,5.4938
S0146,S0146_snr_-5dB_wind.wav,male_0397.wav,wind,-5,-5.0,8.7744
S0147,S0147_snr_-5dB_wind.wav,male_0464.wav,wind,-5,-5.0,5.5508
S0148,S0148_snr_-5dB_wind.wav,male_0394.wav,wind,-5,-5.0,6.4866
S0149,S0149_snr_-5dB_wind.wav,male_0312.wav,wind,-5,-5.0,13.7076
S0150,S0150_snr_-5dB_wind.wav,male_0681.wav,wind,-5,-5.0,3.2169
S0152,S0152_snr_-5dB_wind.wav,male_0922.wav,wind,-5,-5.0,3.8096
S0153,S0153_snr_-5dB_wind.wav,male_0462.wav,wind,-5,-5.0,5.0102
S0154,S0154_snr_-5dB_wind.wav,male_0523.wav,wind,-5,-5.0,3.4859
S0155,S0155_snr_-5dB_wind.wav,male_0632.wav,wind,-5,-5.0,4.5706
S0156,S0156_snr_-5dB_wind.wav,male_0491.wav,wind,-5,-5.0,3.9697
S0158,S0158_snr_-5dB_wind.wav,male_0257.wav,wind,-5,-5.0,6.0
S0159,S0159_snr_-5dB_wind.wav,male_0694.wav,wind,-5,-5.0,9.3896
S0160,S0160_snr_-5dB_wind.wav,male_0741.wav,wind,-5,-5.0,8.4946
S0161,S0161_snr_-5dB_wind.wav,male_0578.wav,wind,-5,-5.0,3.9466
S0162,S0162_snr_-5dB_wind.wav,male_0158.wav,wind,-5,-5.0,16.3171
S0163,S0163_snr_-5dB_wind.wav,male_0613.wav,wind,-5,-5.0,7.0801
S0165,S0165_snr_-5dB_wind.wav,male_0970.wav,wind,-5,-5.0,8.5207
S0166,S0166_snr_-5dB_wind.wav,male_0689.wav,wind,-5,-5.0,7.2272
S0167,S0167_snr_-5dB_wind.wav,male_0362.wav,wind,-5,-5.0,5.6658
S0168,S0168_snr_0dB_armored_vehicle.wav,male_0817.wav,armored_vehicle,0,0.0,9.1506
S0169,S0169_snr_0dB_armored_vehicle.wav,male_0402.wav,armored_vehicle,0,0.0,23.2589
S0170,S0170_snr_0dB_armored_vehicle.wav,male_0093.wav,armored_vehicle,0,0.0,3.9748
S0171,S0171_snr_0dB_armored_vehicle.wav,male_0918.wav,armored_vehicle,0,0.0,26.8771
S0172,S0172_snr_0dB_armored_vehicle.wav,male_0490.wav,armored_vehicle,0,0.0,21.0557
S0173,S0173_snr_0dB_armored_vehicle.wav,male_0452.wav,armored_vehicle,0,0.0,4.8756
S0174,S0174_snr_0dB_armored_vehicle.wav,male_0252.wav,armored_vehicle,0,0.0,8.9496
S0175,S0175_snr_0dB_armored_vehicle.wav,male_0654.wav,armored_vehicle,0,0.0,3.9866
S0176,S0176_snr_0dB_armored_vehicle.wav,male_0770.wav,armored_vehicle,0,0.0,3.2701
S0177,S0177_snr_0dB_armored_vehicle.wav,male_0671.wav,armored_vehicle,0,0.0,4.0873
S0178,S0178_snr_0dB_armored_vehicle.wav,male_0130.wav,armored_vehicle,0,0.0,5.5282
S0181,S0181_snr_0dB_armored_vehicle.wav,male_0343.wav,armored_vehicle,0,0.0,5.1093
S0183,S0183_snr_0dB_armored_vehicle.wav,male_0137.wav,armored_vehicle,0,0.0,10.1554
S0184,S0184_snr_0dB_armored_vehicle.wav,male_0089.wav,armored_vehicle,0,0.0,13.0983
S0185,S0185_snr_0dB_armored_vehicle.wav,male_0328.wav,armored_vehicle,0,0.0,6.4833
S0186,S0186_snr_0dB_armored_vehicle.wav,male_0476.wav,armored_vehicle,0,0.0,6.6856
S0187,S0187_snr_0dB_armored_vehicle.wav,male_0982.wav,armored_vehicle,0,0.0,6.4781
S0188,S0188_snr_0dB_armored_vehicle.wav,male_0851.wav,armored_vehicle,0,-0.0,6.5409
S0189,S0189_snr_0dB_armored_vehicle.wav,male_0893.wav,armored_vehicle,0,0.0,6.703
S0191,S0191_snr_0dB_armored_vehicle.wav,male_0179.wav,armored_vehicle,0,0.0,12.24
S0192,S0192_snr_0dB_artillery.wav,male_0027.wav,artillery,0,0.0,3.0443
S0193,S0193_snr_0dB_artillery.wav,male_0350.wav,artillery,0,0.0,3.332
S0195,S0195_snr_0dB_artillery.wav,male_0475.wav,artillery,0,-0.0,3.3582
S0196,S0196_snr_0dB_artillery.wav,male_0618.wav,artillery,0,0.0,4.366
S0197,S0197_snr_0dB_artillery.wav,male_0698.wav,artillery,0,0.0,3.6334
S0198,S0198_snr_0dB_artillery.wav,male_0051.wav,artillery,0,0.0,19.0829
S0199,S0199_snr_0dB_artillery.wav,male_0212.wav,artillery,0,0.0,6.8786
S0200,S0200_snr_0dB_artillery.wav,male_0382.wav,artillery,0,0.0,3.5383
S0203,S0203_snr_0dB_artillery.wav,male_0148.wav,artillery,0,0.0,11.7684
S0205,S0205_snr_0dB_artillery.wav,male_0962.wav,artillery,0,0.0,4.7949
S0206,S0206_snr_0dB_artillery.wav,male_0149.wav,artillery,0,0.0,12.5435
S0207,S0207_snr_0dB_artillery.wav,male_0976.wav,artillery,0,0.0,12.5986
S0208,S0208_snr_0dB_artillery.wav,male_0080.wav,artillery,0,0.0,3.6912
S0211,S0211_snr_0dB_artillery.wav,male_0996.wav,artillery,0,0.0,6.0819
S0212,S0212_snr_0dB_artillery.wav,male_0526.wav,artillery,0,0.0,9.9834
S0213,S0213_snr_0dB_artillery.wav,male_0775.wav,artillery,0,0.0,8.0784
S0215,S0215_snr_0dB_artillery.wav,male_0626.wav,artillery,0,0.0,10.9278
S0216,S0216_snr_0dB_drone.wav,male_0801.wav,drone,0,0.0,4.5997
S0219,S0219_snr_0dB_drone.wav,male_0841.wav,drone,0,-0.0,3.4298
S0220,S0220_snr_0dB_drone.wav,male_0495.wav,drone,0,-0.0,6.2149
S0221,S0221_snr_0dB_drone.wav,male_0120.wav,drone,0,0.0,6.6247
S0222,S0222_snr_0dB_drone.wav,male_0478.wav,drone,0,0.0,5.68
S0223,S0223_snr_0dB_drone.wav,male_0145.wav,drone,0,0.0,8.56
S0224,S0224_snr_0dB_drone.wav,male_0030.wav,drone,0,0.0,4.6696
S0226,S0226_snr_0dB_drone.wav,male_0122.wav,drone,0,0.0,4.7784
S0227,S0227_snr_0dB_drone.wav,male_0606.wav,drone,0,0.0,4.91
S0228,S0228_snr_0dB_drone.wav,male_0062.wav,drone,0,0.0,7.3252
S0229,S0229_snr_0dB_drone.wav,male_0872.wav,drone,0,0.0,4.8988
S0230,S0230_snr_0dB_drone.wav,male_0573.wav,drone,0,0.0,4.72
S0231,S0231_snr_0dB_drone.wav,male_0006.wav,drone,0,-0.0,6.4688
S0232,S0232_snr_0dB_drone.wav,male_0927.wav,drone,0,0.0,7.7004
S0233,S0233_snr_0dB_drone.wav,male_0640.wav,drone,0,-0.0,3.3201
S0235,S0235_snr_0dB_drone.wav,male_0730.wav,drone,0,0.0,3.9488
S0236,S0236_snr_0dB_drone.wav,male_0194.wav,drone,0,0.0,4.2245
S0237,S0237_snr_0dB_drone.wav,male_0753.wav,drone,0,0.0,6.575
S0238,S0238_snr_0dB_drone.wav,male_0627.wav,drone,0,0.0,6.4592
S0239,S0239_snr_0dB_drone.wav,male_0572.wav,drone,0,-0.0,27.0326
S0240,S0240_snr_0dB_siren.wav,male_0018.wav,siren,0,0.0,8.2081
S0241,S0241_snr_0dB_siren.wav,male_0743.wav,siren,0,0.0,7.6506
S0243,S0243_snr_0dB_siren.wav,male_0511.wav,siren,0,0.0,14.0422
S0244,S0244_snr_0dB_siren.wav,male_0574.wav,siren,0,0.0,4.3691
S0245,S0245_snr_0dB_siren.wav,male_0139.wav,siren,0,0.0,4.6601
S0246,S0246_snr_0dB_siren.wav,male_0192.wav,siren,0,0.0,8.4498
S0248,S0248_snr_0dB_siren.wav,male_0444.wav,siren,0,0.0,5.0001
S0250,S0250_snr_0dB_siren.wav,male_0214.wav,siren,0,0.0,5.4944
S0251,S0251_snr_0dB_siren.wav,male_0065.wav,siren,0,0.0,3.92
S0252,S0252_snr_0dB_siren.wav,male_0412.wav,siren,0,0.0,5.76
S0253,S0253_snr_0dB_siren.wav,male_0302.wav,siren,0,0.0,7.7511
S0254,S0254_snr_0dB_siren.wav,male_0334.wav,siren,0,0.0,10.7021
S0256,S0256_snr_0dB_siren.wav,male_0665.wav,siren,0,0.0,7.3943
S0257,S0257_snr_0dB_siren.wav,male_0263.wav,siren,0,0.0,7.9702
S0258,S0258_snr_0dB_siren.wav,male_0648.wav,siren,0,0.0,6.9271
S0259,S0259_snr_0dB_siren.wav,male_0811.wav,siren,0,-0.0,9.16
S0260,S0260_snr_0dB_siren.wav,male_0233.wav,siren,0,0.0,9.0934
S0261,S0261_snr_0dB_siren.wav,male_0796.wav,siren,0,0.0,8.1628
S0262,S0262_snr_0dB_siren.wav,male_0682.wav,siren,0,0.0,9.0902
S0264,S0264_snr_0dB_gunshot.wav,male_0483.wav,gunshot,0,-0.0,3.24
S0265,S0265_snr_0dB_gunshot.wav,male_0361.wav,gunshot,0,0.0,6.0
S0266,S0266_snr_0dB_gunshot.wav,male_0839.wav,gunshot,0,0.0,4.1896
S0267,S0267_snr_0dB_gunshot.wav,male_0237.wav,gunshot,0,-0.0,4.5119
S0268,S0268_snr_0dB_gunshot.wav,male_0628.wav,gunshot,0,0.0,11.1086
S0270,S0270_snr_0dB_gunshot.wav,male_0583.wav,gunshot,0,0.0,12.0914
S0271,S0271_snr_0dB_gunshot.wav,male_0273.wav,gunshot,0,0.0,3.7827
S0272,S0272_snr_0dB_gunshot.wav,male_0202.wav,gunshot,0,0.0,22.2771
S0274,S0274_snr_0dB_gunshot.wav,male_0428.wav,gunshot,0,0.0,3.0621
S0275,S0275_snr_0dB_gunshot.wav,male_0240.wav,gunshot,0,-0.0,3.9103
S0276,S0276_snr_0dB_gunshot.wav,male_0085.wav,gunshot,0,0.0,9.08
S0282,S0282_snr_0dB_gunshot.wav,male_0684.wav,gunshot,0,0.0,5.2574
S0283,S0283_snr_0dB_gunshot.wav,male_0319.wav,gunshot,0,0.0,7.549
S0285,S0285_snr_0dB_gunshot.wav,male_0250.wav,gunshot,0,-0.0,5.9387
S0286,S0286_snr_0dB_gunshot.wav,male_0847.wav,gunshot,0,0.0,4.98
S0287,S0287_snr_0dB_gunshot.wav,male_0280.wav,gunshot,0,0.0,12.4214
S0288,S0288_snr_0dB_helicopter.wav,male_0456.wav,helicopter,0,0.0,12.1685
S0289,S0289_snr_0dB_helicopter.wav,male_0902.wav,helicopter,0,0.0,3.4991
S0290,S0290_snr_0dB_helicopter.wav,male_0762.wav,helicopter,0,-0.0,4.4002
S0292,S0292_snr_0dB_helicopter.wav,male_0181.wav,helicopter,0,0.0,4.5106
S0293,S0293_snr_0dB_helicopter.wav,male_0558.wav,helicopter,0,0.0,6.0723
S0294,S0294_snr_0dB_helicopter.wav,male_0629.wav,helicopter,0,0.0,10.4478
S0297,S0297_snr_0dB_helicopter.wav,male_0011.wav,helicopter,0,0.0,3.1555
S0298,S0298_snr_0dB_helicopter.wav,male_0200.wav,helicopter,0,0.0,4.96
S0299,S0299_snr_0dB_helicopter.wav,male_0426.wav,helicopter,0,-0.0,3.4185
S0300,S0300_snr_0dB_helicopter.wav,male_0535.wav,helicopter,0,0.0,4.3295
S0301,S0301_snr_0dB_helicopter.wav,male_0032.wav,helicopter,0,-0.0,4.1275
S0302,S0302_snr_0dB_helicopter.wav,male_0580.wav,helicopter,0,0.0,13.7635
S0303,S0303_snr_0dB_helicopter.wav,male_0405.wav,helicopter,0,0.0,6.28
S0304,S0304_snr_0dB_helicopter.wav,male_0278.wav,helicopter,0,0.0,4.9016
S0306,S0306_snr_0dB_helicopter.wav,male_0772.wav,helicopter,0,0.0,6.528
S0307,S0307_snr_0dB_helicopter.wav,male_0373.wav,helicopter,0,-0.0,3.6998
S0308,S0308_snr_0dB_helicopter.wav,male_0723.wav,helicopter,0,0.0,3.7369
S0309,S0309_snr_0dB_helicopter.wav,male_0401.wav,helicopter,0,0.0,4.48
S0310,S0310_snr_0dB_helicopter.wav,male_0079.wav,helicopter,0,0.0,7.2998
S0311,S0311_snr_0dB_helicopter.wav,male_0538.wav,helicopter,0,0.0,10.7517
S0312,S0312_snr_0dB_wind.wav,male_0576.wav,wind,0,-0.0,3.7739
S0313,S0313_snr_0dB_wind.wav,male_0549.wav,wind,0,0.0,4.4017
S0315,S0315_snr_0dB_wind.wav,male_0042.wav,wind,0,0.0,13.0003
S0316,S0316_snr_0dB_wind.wav,male_0886.wav,wind,0,0.0,14.2086
S0318,S0318_snr_0dB_wind.wav,male_0859.wav,wind,0,-0.0,13.4344
S0319,S0319_snr_0dB_wind.wav,male_0140.wav,wind,0,0.0,6.0452
S0320,S0320_snr_0dB_wind.wav,male_0386.wav,wind,0,0.0,9.8714
S0321,S0321_snr_0dB_wind.wav,male_0457.wav,wind,0,-0.0,3.2181
S0322,S0322_snr_0dB_wind.wav,male_0933.wav,wind,0,0.0,7.7158
S0323,S0323_snr_0dB_wind.wav,male_0814.wav,wind,0,0.0,4.326
S0325,S0325_snr_0dB_wind.wav,male_0625.wav,wind,0,0.0,9.5331
S0327,S0327_snr_0dB_wind.wav,male_0709.wav,wind,0,0.0,9.8666
S0328,S0328_snr_0dB_wind.wav,male_0458.wav,wind,0,0.0,6.4656
S0329,S0329_snr_0dB_wind.wav,male_0874.wav,wind,0,0.0,6.4172
S0330,S0330_snr_0dB_wind.wav,male_0327.wav,wind,0,0.0,6.8011
S0333,S0333_snr_0dB_wind.wav,male_0818.wav,wind,0,-0.0,7.5996
S0334,S0334_snr_0dB_wind.wav,male_0398.wav,wind,0,0.0,6.7659
S0335,S0335_snr_5dB_armored_vehicle.wav,male_0916.wav,armored_vehicle,5,5.0,4.1932
S0336,S0336_snr_5dB_armored_vehicle.wav,male_0994.wav,armored_vehicle,5,5.0,6.7378
S0337,S0337_snr_5dB_armored_vehicle.wav,male_0416.wav,armored_vehicle,5,5.0,5.2201
S0338,S0338_snr_5dB_armored_vehicle.wav,male_0596.wav,armored_vehicle,5,5.0,6.2326
S0341,S0341_snr_5dB_armored_vehicle.wav,male_0410.wav,armored_vehicle,5,5.0,8.2
S0343,S0343_snr_5dB_armored_vehicle.wav,male_0305.wav,armored_vehicle,5,5.0,10.1552
S0344,S0344_snr_5dB_armored_vehicle.wav,male_0287.wav,armored_vehicle,5,5.0,6.0522
S0345,S0345_snr_5dB_armored_vehicle.wav,male_0645.wav,armored_vehicle,5,5.0,5.2942
S0346,S0346_snr_5dB_armored_vehicle.wav,male_0636.wav,armored_vehicle,5,5.0,9.12
S0347,S0347_snr_5dB_armored_vehicle.wav,male_0354.wav,armored_vehicle,5,5.0,7.25
S0348,S0348_snr_5dB_armored_vehicle.wav,male_0069.wav,armored_vehicle,5,5.0,4.0262
S0350,S0350_snr_5dB_armored_vehicle.wav,male_0834.wav,armored_vehicle,5,5.0,7.3785
S0351,S0351_snr_5dB_armored_vehicle.wav,male_0936.wav,armored_vehicle,5,5.0,9.4785
S0352,S0352_snr_5dB_armored_vehicle.wav,male_0680.wav,armored_vehicle,5,5.0,6.2015
S0353,S0353_snr_5dB_armored_vehicle.wav,male_0720.wav,armored_vehicle,5,5.0,3.9302
S0354,S0354_snr_5dB_armored_vehicle.wav,male_0238.wav,armored_vehicle,5,5.0,4.7264
S0355,S0355_snr_5dB_armored_vehicle.wav,male_0266.wav,armored_vehicle,5,5.0,3.134
S0357,S0357_snr_5dB_armored_vehicle.wav,male_0836.wav,armored_vehicle,5,5.0,8.1401
S0358,S0358_snr_5dB_armored_vehicle.wav,male_0863.wav,armored_vehicle,5,5.0,4.4862
S0359,S0359_snr_5dB_artillery.wav,male_0055.wav,artillery,5,5.0,4.9204
S0360,S0360_snr_5dB_artillery.wav,male_0658.wav,artillery,5,5.0,7.6595
S0361,S0361_snr_5dB_artillery.wav,male_0944.wav,artillery,5,5.0,3.0411
S0362,S0362_snr_5dB_artillery.wav,male_0407.wav,artillery,5,5.0,4.3511
S0363,S0363_snr_5dB_artillery.wav,male_0381.wav,artillery,5,5.0,8.4
S0364,S0364_snr_5dB_artillery.wav,male_0125.wav,artillery,5,5.0,3.8802
S0365,S0365_snr_5dB_artillery.wav,male_0492.wav,artillery,5,5.0,5.0884
S0366,S0366_snr_5dB_artillery.wav,male_0803.wav,artillery,5,5.0,7.96
S0367,S0367_snr_5dB_artillery.wav,male_0901.wav,artillery,5,5.0,4.7614
