sample_id,noisy_filename,clean_filename,noise_filename,noise_category,target_snr_db,measured_snr_db,snr_error_db,duration_sec,sample_rate,channels,bit_depth,clean_rms,noise_rms_before_scaling,noise_scaling_factor,flag_large_snr_error,gender,age_group,primary_language,native_place_state,native_place_district,highest_qualification,job_category,occupation_domain
S0011,S0011_snr_-5dB_armored_vehicle.wav,male_0185.wav,chrysalyn-bus-starting-engine-and-driving-away-sound-effect-538184.mp3,armored_vehicle,-5,-5.0,0.0,9.36,16000,1,16,0.063169,0.219868,0.51003819,False,Male,45-60,Malayalam,Kerala,Pathanamthitta,Graduate,Full Time,Government
S0012,S0012_snr_-5dB_armored_vehicle.wav,male_0810.wav,182793__qubodup__military-vehicle-humming.flac,armored_vehicle,-5,-5.0,0.0,17.8625,16000,1,16,0.114376,0.172256,1.1871598,False,Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
S0013,S0013_snr_-5dB_armored_vehicle.wav,male_0419.wav,magiaz-war_tank-481284.mp3,armored_vehicle,-5,-5.0,-0.0,4.6111,16000,1,16,0.031049,0.175346,0.30185396,False,Male,30-45,Maithili,Bihar,Darbhanga,Post Graduate,Full Time,Education and Research
S0014,S0014_snr_-5dB_armored_vehicle.wav,male_0616.wav,"Tank column, the movement of a group of tanks (1).mp3",armored_vehicle,-5,-5.0,0.0,29.6518,16000,1,16,0.020576,0.146627,0.24532545,False,Male,30-45,Malayalam,Kerala,Palakkad,Post Graduate,Full Time,Technology and Services
S0015,S0015_snr_-5dB_armored_vehicle.wav,male_0683.wav,Movement of tank with creaking of caterpillars.mp3,armored_vehicle,-5,-5.0,0.0,7.16,16000,1,16,0.093476,0.086091,1.73683773,False,Male,18-30,Nepali,West Bengal,Kalimpong,Post Graduate,Part Time,Social service
S0016,S0016_snr_-5dB_armored_vehicle.wav,male_0502.wav,freesound_community-military-vehicle-humming-33760 (1).mp3,armored_vehicle,-5,-5.0,0.0,4.2895,16000,1,16,0.084464,0.155391,0.95129601,False,Male,45-60,Malayalam,Kerala,Pathanamthitta,Graduate,Full Time,Government
S0017,S0017_snr_-5dB_armored_vehicle.wav,male_0761.wav,freesound_community-2019-09-ww-ii-army-trucks-mixdown-waalre-52297.mp3,armored_vehicle,-5,-5.0,0.0,5.005,16000,1,16,0.083043,0.066907,4.41788887,False,Male,45-60,Telugu,Telangana,Hyderabad,Doctoral (PhD) or higher level,Full Time,Education and Research
S0018,S0018_snr_-5dB_armored_vehicle.wav,male_0050.wav,the-sound-of-pouring-liquid-from-a-tank-truck.mp3,armored_vehicle,-5,-5.0,-0.0,4.0299,16000,1,16,0.071828,0.353508,0.36014535,False,Male,60+,Konkani,Goa,North Goa,Graduate,Full Time,Financial Services (Banking and Insurance)
S0019,S0019_snr_-5dB_armored_vehicle.wav,male_0733.wav,magiaz-guerra-434777.mp3,armored_vehicle,-5,-5.0,0.0,7.0358,16000,1,16,0.010022,0.043261,0.38549155,False,Male,18-30,Bodo,Assam,Kokrajhar,Post Graduate,Part Time,Education and Research
S0020,S0020_snr_-5dB_armored_vehicle.wav,male_0337.wav,lesiakower-diesel-engine-idle-bus-engine-idling-408780.mp3,armored_vehicle,-5,-5.0,0.0,11.0451,16000,1,16,0.027193,0.168971,0.28632042,False,Male,30-45,Maithili,Bihar,Darbhanga,Post Graduate,Full Time,Education and Research
S0021,S0021_snr_-5dB_armored_vehicle.wav,male_0451.wav,"1914-18_ tank starts, drives off and roars at speed.mp3",armored_vehicle,-5,-5.0,0.0,9.8691,16000,1,16,0.021598,0.082511,0.29467018,False,Male,60+,Bengali,West Bengal,South 24 Parganas,Post Graduate,Other,Financial Services (Banking and Insurance)
S0022,S0022_snr_-5dB_armored_vehicle.wav,male_0791.wav,mixkit-very-old-war-tank-2756.wav,armored_vehicle,-5,-5.0,0.0,12.6134,16000,1,16,0.086407,0.08289,1.85041244,False,Male,30-45,Assamese,Assam,Nagaon,Post Graduate,Full Time,Education and Research
S0023,S0023_snr_-5dB_armored_vehicle.wav,male_0351.wav,tracked-tank-rides-metal-grinding.mp3,armored_vehicle,-5,-5.0,-0.0,4.4001,16000,1,16,0.134982,0.083532,2.57388516,False,Male,30-45,Urdu,Gujarat,Ahmedabad,Graduate,Full Time,Technology and Services
S0024,S0024_snr_-5dB_armored_vehicle.wav,male_0468.wav,Tank in motion_ creaking and grinding of caterpillars.mp3,armored_vehicle,-5,-5.0,-0.0,3.246,16000,1,16,0.016898,0.109602,0.23305186,False,Male,18-30,Bodo,Assam,Kokrajhar,Post Graduate,Part Time,Education and Research
S0025,S0025_snr_-5dB_artillery.wav,male_0623.wav,freesound_community-minigun-95091.mp3,artillery,-5,-5.0,0.0,10.08,16000,1,16,0.125317,0.143499,1.53677645,False,Male,18-30,Nepali,West Bengal,Kalimpong,Post Graduate,Part Time,Social service
S0026,S0026_snr_-5dB_artillery.wav,male_0477.wav,freesound_community-distant-cannon-fire-simulated-36464.mp3,artillery,-5,-5.0,-0.0,5.8096,16000,1,16,0.102548,0.029745,7.19293918,False,Male,30-45,Bengali,West Bengal,Kolkata,Graduate,Freelance,Entertainment
S0027,S0027_snr_-5dB_artillery.wav,male_0615.wav,magiaz-shooting_in_a_war-427812.mp3,artillery,-5,-5.0,-0.0,4.9094,16000,1,16,0.076989,0.101279,1.8453676,False,Male,45-60,Malayalam,Kerala,Pathanamthitta,Graduate,Full Time,Government
S0028,S0028_snr_-5dB_artillery.wav,male_0555.wav,singularitysmarauder-large_steampunk_gun-301959.mp3,artillery,-5,-5.0,0.0,4.48,16000,1,16,0.178767,0.035214,7.75010625,False,Male,18-30,Nepali,West Bengal,Kalimpong,Post Graduate,Part Time,Social service
S0029,S0029_snr_-5dB_artillery.wav,male_0366.wav,alban_gogh-quot-sound-of-war-quot-sound-effect-460937 (1).mp3,artillery,-5,-5.0,-0.0,6.9768,16000,1,16,0.162077,0.13536,1.5711662,False,Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
S0030,S0030_snr_-5dB_artillery.wav,male_0771.wav,vishiv-futuristic-bloom-laser-gun-effects-435016 (2).mp3,artillery,-5,-5.0,0.0,6.1779,16000,1,16,0.133822,0.130688,3.31856164,False,Male,30-45,Marathi,Maharashtra,Raigad,Post Graduate,Full Time,Education and Research
S0031,S0031_snr_-5dB_artillery.wav,male_0631.wav,vishiv-futuristic-laser-gun-effects-pack-1-435013.mp3,artillery,-5,-5.0,0.0,3.9613,16000,1,16,0.021306,0.078626,0.5453365,False,Male,30-45,Malayalam,Kerala,Palakkad,Post Graduate,Full Time,Technology and Services
S0032,S0032_snr_-5dB_artillery.wav,male_0941.wav,freesound_community-cannon-100972.mp3,artillery,-5,-5.0,0.0,3.1482,16000,1,16,0.046903,0.365102,0.23446062,False,Male,30-45,Maithili,Bihar,Darbhanga,Post Graduate,Full Time,Education and Research
S0033,S0033_snr_-5dB_artillery.wav,male_0798.wav,magiazzz-cannon_shot_1-1782958714819-560881.mp3,artillery,-5,-5.0,0.0,8.4327,16000,1,16,0.122306,0.182335,1.53306107,False,Male,30-45,Urdu,Gujarat,Ahmedabad,Graduate,Full Time,Technology and Services
S0034,S0034_snr_-5dB_artillery.wav,male_0497.wav,magiaz-tank_gunfire-496052.mp3,artillery,-5,-5.0,0.0,4.9081,16000,1,16,0.122,0.078435,2.72953643,False,Male,30-45,Malayalam,Kerala,Palakkad,Post Graduate,Full Time,Technology and Services
S0035,S0035_snr_-5dB_artillery.wav,male_0925.wav,trading_nation-distorted-impact-explosion-185554.mp3,artillery,-5,-5.0,0.0,11.1945,16000,1,16,0.022814,0.090196,0.48726367,False,Male,30-45,Malayalam,Kerala,Palakkad,Post Graduate,Full Time,Technology and Services
S0036,S0036_snr_-5dB_artillery.wav,male_0370.wav,freesound_community-bit-cannon-85932 (1).mp3,artillery,-5,-5.0,-0.0,3.0561,16000,1,16,0.119813,0.336872,0.6432953,False,Male,18-30,Nepali,West Bengal,Kalimpong,Post Graduate,Part Time,Social service
S0037,S0037_snr_-5dB_artillery.wav,male_0597.wav,freesound_community-boom-2-103151.mp3,artillery,-5,-5.0,-0.0,7.5834,16000,1,16,0.15009,0.085796,3.33697399,False,Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
S0038,S0038_snr_-5dB_artillery.wav,male_0721.wav,universfield-cannon-shot-352459.mp3,artillery,-5,-5.0,-0.0,4.8812,16000,1,16,0.13131,0.088168,2.44088395,False,Male,30-45,Kashmiri,Jammu Kashmir,Anantnag,Doctoral (PhD) or higher level,Full Time,Education and Research
S0039,S0039_snr_-5dB_artillery.wav,male_0054.wav,freesound_community-cannon-fodder-v2-morphagene-reel-by-mudlogger-16930.mp3,artillery,-5,-5.0,0.0,3.723,16000,1,16,0.112077,0.043125,5.41830129,False,Male,60+,Konkani,Goa,North Goa,Graduate,Full Time,Financial Services (Banking and Insurance)
S0040,S0040_snr_-5dB_artillery.wav,male_0427.wav,freesound_community-incoming-mortar-3-86033.mp3,artillery,-5,-5.0,0.0,12.5988,16000,1,16,0.055238,0.255451,0.37970629,False,Male,18-30,Konkani,Goa,South Goa,Post Graduate,Full Time,Technology and Services
S0041,S0041_snr_-5dB_artillery.wav,male_0057.wav,soundtaker-heavy-shot-sound-477215 (2).mp3,artillery,-5,-5.0,-0.0,7.8,16000,1,16,0.072061,0.162408,2.04388652,False,Male,45-60,Malayalam,Kerala,Pathanamthitta,Graduate,Full Time,Government
S0042,S0042_snr_-5dB_artillery.wav,male_0265.wav,kuzu420-pow-with-echo-280695.mp3,artillery,-5,-5.0,0.0,3.8423,16000,1,16,0.177738,0.030758,9.99368413,False,Male,18-30,Nepali,West Bengal,Kalimpong,Post Graduate,Part Time,Social service
S0043,S0043_snr_-5dB_artillery.wav,male_0773.wav,adamsmith3-war-sound-effect-179574.mp3,artillery,-5,-5.0,-0.0,5.5996,16000,1,16,0.100917,0.175142,1.44526393,False,Male,18-30,Odia,Odisha,Sundergarh,Post Graduate,Full Time,Education and Research
S0044,S0044_snr_-5dB_artillery.wav,male_0186.wav,freesound_community-tribute-cannon-104430 (1).mp3,artillery,-5,-5.0,-0.0,7.0,16000,1,16,0.024939,0.05706,0.77151144,False,Male,60+,Konkani,Goa,North Goa,Graduate,Full Time,Financial Services (Banking and Insurance)
S0045,S0045_snr_-5dB_artillery.wav,male_0467.wav,freesound_community-21-gun-salute-25444.mp3,artillery,-5,-5.0,-0.0,12.3801,16000,1,16,0.112794,0.093145,2.23618458,False,Male,45-60,Nepali,Meghalaya,Ri Bhoi,Post Graduate,Full Time,Education and Research
S0046,S0046_snr_-5dB_artillery.wav,male_0790.wav,freesound_community-telskuf_iraq_gun-82882.mp3,artillery,-5,-5.0,0.0,5.9776,16000,1,16,0.10187,0.067198,2.39152002,False,Male,30-45,Bodo,Assam,Kokrajhar,Post Graduate,Other,Education and Research
S0047,S0047_snr_-5dB_artillery.wav,male_0175.wav,universfield-cannon-shot-326182.mp3,artillery,-5,-5.0,0.0,4.9706,16000,1,16,0.108772,0.115261,1.79217921,False,Male,30-45,Bengali,West Bengal,Kolkata,Graduate,Freelance,Entertainment
S0048,S0048_snr_-5dB_artillery.wav,male_0151.wav,ejah_music-cannon-blast-with-reverb-378282.mp3,artillery,-5,-5.0,0.0,5.785,16000,1,16,0.019941,0.116544,0.28434641,False,Male,30-45,Maithili,Bihar,Darbhanga,Post Graduate,Full Time,Education and Research
S0049,S0049_snr_-5dB_drone.wav,male_0742.wav,heavy-suspense-drone-qvkfs2ut.wav,drone,-5,-5.0,0.0,4.9999,16000,1,16,0.064684,0.203999,0.57311683,False,Male,30-45,Maithili,Bihar,Samastipur,Doctoral (PhD) or higher level,Full Time,Education and Research
S0050,S0050_snr_-5dB_drone.wav,male_0114.wav,the-ambient-drone-should--snd63p4k.wav,drone,-5,-5.0,0.0,9.9003,16000,1,16,0.051916,0.168487,0.54820484,False,Male,60+,Konkani,Goa,North Goa,Graduate,Full Time,Financial Services (Banking and Insurance)
S0051,S0051_snr_-5dB_drone.wav,male_0429.wav,low-dark-drone-start-i3qlxcez.wav,drone,-5,-5.0,0.0,4.8147,16000,1,16,0.073891,0.618616,0.21151631,False,Male,45-60,Telugu,Telangana,Hyderabad,Doctoral (PhD) or higher level,Full Time,Education and Research
S0052,S0052_snr_-5dB_drone.wav,male_0966.wav,ya_dmutro-military-fpv-drone-attack-with-impact-explosion-439286.mp3,drone,-5,-5.0,0.0,10.1347,16000,1,16,0.127635,0.064676,3.67515712,False,Male,30-45,Malayalam,Kerala,Palakkad,Post Graduate,Full Time,Technology and Services
S0053,S0053_snr_-5dB_drone.wav,male_0019.wav,ultra-realistic-shamanic--slftnbdc.wav,drone,-5,-5.0,-0.0,6.1567,16000,1,16,0.121726,0.25838,0.7226808,False,Male,45-60,Dogri,Jammu Kashmir,Jammu,Graduate,Full Time,Retail
S0054,S0054_snr_-5dB_drone.wav,male_0190.wav,cold-drone-silence-focuse-be2trgup.wav,drone,-5,-5.0,0.0,4.5941,16000,1,16,0.202195,0.155261,2.13247778,False,Male,30-45,Urdu,Gujarat,Ahmedabad,Graduate,Full Time,Technology and Services
S0055,S0055_snr_-5dB_drone.wav,male_0415.wav,low-dark-drone-holding-oqjhilao.wav,drone,-5,-5.0,-0.0,27.2279,16000,1,16,0.032765,0.435061,0.13328638,False,Male,18-30,Kashmiri,Jammu Kashmir,Srinagar,Post Graduate,Other,Education and Research
S0056,S0056_snr_-5dB_drone.wav,male_0590.wav,corridor-reverb--low-dron-bjyhe5l5.wav,drone,-5,-5.0,0.0,3.4988,16000,1,16,0.105501,0.144911,1.72306131,False,Male,30-45,Bodo,Assam,Kokrajhar,Post Graduate,Other,Education and Research
S0057,S0057_snr_-5dB_drone.wav,male_0667.wav,heavy-lift-industrial-dro-rebmhmlo.wav,drone,-5,-5.0,0.0,3.5239,16000,1,16,0.087452,0.326222,0.42966352,False,Male,60+,Marathi,Maharashtra,Solapur,Graduate,Full Time,Healthcare (Medical &amp; Pharma)
S0058,S0058_snr_-5dB_drone.wav,male_0764.wav,-suspense-drone-ujtci2ps.wav,drone,-5,-5.0,-0.0,4.5838,16000,1,16,0.131222,0.174763,1.13829109,False,Male,30-45,Urdu,Gujarat,Ahmedabad,Graduate,Full Time,Technology and Services
S0059,S0059_snr_-5dB_drone.wav,male_0222.wav,sudden-sharp-sting-silent-s4g2uv4n.wav,drone,-5,-5.0,0.0,7.4704,16000,1,16,0.026228,0.148043,0.27360516,False,Male,30-45,Malayalam,Kerala,Palakkad,Post Graduate,Full Time,Technology and Services
S0060,S0060_snr_-5dB_drone.wav,male_0587.wav,dark-ambient-drone-with-r-jsf774r3.wav,drone,-5,-5.0,0.0,4.0423,16000,1,16,0.046485,0.150941,0.84414343,False,Male,30-45,Dogri,Jammu Kashmir,Jammu,Graduate,Full Time,Technology and Services
S0061,S0061_snr_-5dB_drone.wav,male_0582.wav,slow-rising-narrowband-dr-2n4qqn7s.wav,drone,-5,-5.0,0.0,8.7436,16000,1,16,0.01246,0.10869,0.18304277,False,Male,18-30,Bodo,Assam,Kokrajhar,Post Graduate,Part Time,Education and Research
S0062,S0062_snr_-5dB_drone.wav,male_0300.wav,dark-warm-atmospheric-dro-jtao2ekl.wav,drone,-5,-5.0,0.0,4.0818,16000,1,16,0.001242,0.133116,0.03307488,False,Male,45-60,Kashmiri,Jammu Kashmir,Srinagar,Doctoral (PhD) or higher level,Full Time,Education and Research
S0063,S0063_snr_-5dB_drone.wav,male_0639.wav,soft-ambient-drone-in-dve-n4kpzwqx.wav,drone,-5,-5.0,-0.0,14.1148,16000,1,16,0.110345,0.160558,1.18492542,False,Male,18-30,Bengali,West Bengal,Kolkata,Doctoral (PhD) or higher level,Full Time,Education and Research
S0064,S0064_snr_-5dB_drone.wav,male_0387.wav,low-hollow-drone--subtle-ydfs2sei.wav,drone,-5,-5.0,-0.0,4.3191,16000,1,16,0.03487,0.23906,0.24800174,False,Male,18-30,Assamese,Assam,Kamrup Metropolitan,Post Graduate,Full Time,Education and Research
S0065,S0065_snr_-5dB_drone.wav,male_0365.wav,low-sub-drone-uudnptdc.wav,drone,-5,-5.0,0.0,7.6044,16000,1,16,0.121605,0.403872,0.53344219,False,Male,18-30,Nepali,West Bengal,Kalimpong,Post Graduate,Part Time,Social service
S0066,S0066_snr_-5dB_drone.wav,male_0880.wav,se_qnumchpjlakzyvc4.wav,drone,-5,-5.0,0.0,3.2664,16000,1,16,0.062383,0.067073,1.63950686,False,Male,30-45,Maithili,Bihar,Samastipur,Doctoral (PhD) or higher level,Full Time,Education and Research
S0067,S0067_snr_-5dB_drone.wav,male_0335.wav,tanpura-sound-with-drone--3rcrcstr.wav,drone,-5,-5.0,-0.0,4.6515,16000,1,16,0.020265,0.137231,0.2636243,False,Male,30-45,Maithili,Bihar,Darbhanga,Post Graduate,Full Time,Education and Research
S0068,S0068_snr_-5dB_drone.wav,male_0017.wav,fpv-drone-sound-rwi7jhtn.wav,drone,-5,-5.0,-0.0,3.0601,16000,1,16,0.092742,0.225763,0.65620723,False,Male,45-60,Telugu,Telangana,Hyderabad,Doctoral (PhD) or higher level,Full Time,Education and Research
S0069,S0069_snr_-5dB_drone.wav,male_0203.wav,cold-drone--chorus-whispe-tyxr4vcq.wav,drone,-5,-5.0,-0.0,3.2712,16000,1,16,0.055032,0.143222,0.77254221,False,Male,30-45,Bodo,Assam,Kokrajhar,Post Graduate,Other,Education and Research
S0070,S0070_snr_-5dB_drone.wav,male_0002.wav,generate-a-continuous-sof-562ee4bf.wav,drone,-5,-5.0,0.0,5.0309,16000,1,16,0.036221,0.177755,0.38992128,False,Male,45-60,Tamil,Tamil Nadu,Karur,Post Graduate,Full Time,Information and Media
S0071,S0071_snr_-5dB_drone.wav,male_0039.wav,se_sxj5p7qluae4c5bc.wav,drone,-5,-5.0,0.0,3.5,16000,1,16,0.117044,0.244003,0.82293055,False,Male,30-45,Kashmiri,Jammu Kashmir,Anantnag,Doctoral (PhD) or higher level,Full Time,Education and Research
S0072,S0072_snr_-5dB_drone.wav,male_0291.wav,paisagens-sonoras-sombria-z2rvbntw.wav,drone,-5,-5.0,0.0,3.5321,16000,1,16,0.077924,0.095198,1.15274675,False,Male,30-45,Bodo,Assam,Kokrajhar,Post Graduate,Other,Education and Research
S0073,S0073_snr_-5dB_siren.wav,male_0494.wav,jeremayjimenez-minas-gerais-brazil-eas-alarm-456936.mp3,siren,-5,-5.0,-0.0,9.68,16000,1,16,0.143637,0.388151,0.63459474,False,Male,18-30,Nepali,West Bengal,Kalimpong,Post Graduate,Part Time,Social service
S0074,S0074_snr_-5dB_siren.wav,male_0248.wav,air-raid-siren.mp3,siren,-5,-5.0,0.0,4.7341,16000,1,16,0.073424,0.155886,2.40605823,False,Male,60+,Konkani,Goa,North Goa,Graduate,Full Time,Financial Services (Banking and Insurance)
S0075,S0075_snr_-5dB_siren.wav,male_0507.wav,biscuit1960-siren-passing-275127.mp3,siren,-5,-5.0,0.0,4.8302,16000,1,16,0.036558,0.100529,2.95283293,False,Male,45-60,Tamil,Tamil Nadu,Karur,Post Graduate,Full Time,Information and Media
S0076,S0076_snr_-5dB_siren.wav,male_0897.wav,soundreality-civil-defense-siren-128262.mp3,siren,-5,-5.0,0.0,8.3891,16000,1,16,0.071959,0.24594,0.479622,False,Male,30-45,Bodo,Assam,Kokrajhar,Post Graduate,Other,Education and Research
S0077,S0077_snr_-5dB_siren.wav,male_0714.wav,freesound_community-red-alert_nuclear_buzzer-99741.mp3,siren,-5,-5.0,0.0,3.0636,16000,1,16,0.188135,0.168825,1.85958022,False,Male,30-45,Urdu,Gujarat,Ahmedabad,Graduate,Full Time,Technology and Services
S0078,S0078_snr_-5dB_siren.wav,male_0892.wav,air-raid-siren-wailing-urgent-gfx-sounds-war-air-raid-siren-2-1-0m17s.mp3,siren,-5,-5.0,0.0,6.3997,16000,1,16,0.006154,0.141003,0.07408503,False,Male,30-45,Sindhi,Rajasthan,Ajmer,Post Graduate,Part Time,Government
S0079,S0079_snr_-5dB_siren.wav,male_0077.wav,freesound_community-siren_low-78303.mp3,siren,-5,-5.0,0.0,5.74,16000,1,16,0.037566,0.08522,0.4566142,False,Male,30-45,Maithili,Bihar,Samastipur,Doctoral (PhD) or higher level,Full Time,Education and Research
S0080,S0080_snr_-5dB_siren.wav,male_0912.wav,sudden-loud-roar-of-a-h2g7rvgx.wav,siren,-5,-5.0,-0.0,9.8,16000,1,16,0.092784,0.230879,0.70747402,False,Male,18-30,Nepali,West Bengal,Kalimpong,Post Graduate,Part Time,Social service
S0081,S0081_snr_-5dB_siren.wav,male_0793.wav,liecio-evacuation-alarm-189740.mp3,siren,-5,-5.0,-0.0,5.96,16000,1,16,0.229961,0.046021,7.6096517,False,Male,30-45,Punjabi,Punjab,Mansa,Post Graduate,Full Time,Government
S0082,S0082_snr_-5dB_siren.wav,male_0509.wav,Air raid (military siren).mp3,siren,-5,-5.0,-0.0,4.6106,16000,1,16,0.069605,0.117633,0.79341828,False,Male,30-45,Konkani,Goa,North Goa,Post Graduate,Full Time,Education and Research
S0083,S0083_snr_-5dB_siren.wav,male_0178.wav,freesound_community-060025_military-alarm-amp-noiseflac-88641.mp3,siren,-5,-5.0,-0.0,3.6304,16000,1,16,0.028246,0.203224,0.27658526,False,Male,30-45,Maithili,Bihar,Darbhanga,Post Graduate,Full Time,Education and Research
S0084,S0084_snr_-5dB_siren.wav,male_0843.wav,freesound_community-alarm-1-with-reverberation-30031.mp3,siren,-5,-5.0,0.0,4.32,16000,1,16,0.058827,0.26212,0.40218281,False,Male,18-30,Nepali,West Bengal,Kalimpong,Post Graduate,Part Time,Social service
S0085,S0085_snr_-5dB_siren.wav,male_0201.wav,jeremayjimenez-ses-1000-air-raid-334949.mp3,siren,-5,-5.0,0.0,3.2524,16000,1,16,0.04228,0.196388,0.80826464,False,Male,30-45,Dogri,Jammu Kashmir,Jammu,Graduate,Full Time,Technology and Services
S0086,S0086_snr_-5dB_siren.wav,male_0766.wav,scottishperson-sound-effect-ww2-uk-air-raid-siren-164346.mp3,siren,-5,-5.0,0.0,16.4629,16000,1,16,0.046768,0.032446,2.97244539,False,Male,45-60,Bodo,Assam,Udalguri,Doctoral (PhD) or higher level,Freelance,Education and Research
S0087,S0087_snr_-5dB_siren.wav,male_0910.wav,"ElevenLabs_Continuous_danger_siren,_relentless_and_foreboding.mp3",siren,-5,-5.0,0.0,8.72,16000,1,16,0.127665,0.049175,4.69660006,False,Male,18-30,Nepali,West Bengal,Kalimpong,Post Graduate,Part Time,Social service
S0088,S0088_snr_-5dB_siren.wav,male_0294.wav,vintage-military-alarm-fx.wav,siren,-5,-5.0,-0.0,6.1667,16000,1,16,0.02065,0.121756,0.53749462,False,Male,30-45,Maithili,Bihar,Darbhanga,Post Graduate,Full Time,Education and Research
S0089,S0089_snr_-5dB_siren.wav,male_0539.wav,poorartistt-emergency-alarmsiren-type-01-no-copyright-410303.mp3,siren,-5,-5.0,0.0,7.2142,16000,1,16,0.103266,0.28749,0.61116223,False,Male,30-45,Hindi,Gujarat,Vadodara,Post Graduate,Full Time,Information and Media
S0090,S0090_snr_-5dB_siren.wav,male_0025.wav,mixkit-alert-alarm-1005.wav,siren,-5,-5.0,0.0,3.6433,16000,1,16,0.042527,0.227398,0.33221728,False,Male,60+,Bengali,West Bengal,South 24 Parganas,Post Graduate,Other,Financial Services (Banking and Insurance)
S0091,S0091_snr_-5dB_siren.wav,male_0695.wav,emergency-siren-long-mechanical-wave-1-1-00-29.mp3,siren,-5,-5.0,0.0,4.3866,16000,1,16,0.067494,0.02864,54.34838298,False,Male,60+,Odia,Odisha,Sundergarh,Graduate,Freelance,Education and Research
S0092,S0092_snr_-5dB_siren.wav,male_0211.wav,death_star_alarm.mp3,siren,-5,-5.0,-0.0,7.8376,16000,1,16,0.021704,0.178704,0.21648029,False,Male,30-45,Maithili,Bihar,Darbhanga,Post Graduate,Full Time,Education and Research
S0093,S0093_snr_-5dB_siren.wav,male_0425.wav,dragon-studio-nuclear-alarm-386177.mp3,siren,-5,-5.0,0.0,14.6748,16000,1,16,0.124552,0.058954,3.76762372,False,Male,30-45,Marathi,Maharashtra,Raigad,Post Graduate,Full Time,Education and Research
